name,serving,calorie,carbohydrate,sugar,protein,fat,saturated_fat,polyunsaturated_fat,monounsaturated_fat,cholesterol,fiber,sodium,potassium
가지볶음,1인분(200g),117,8.14,2.63,2,9.3,1.328,3.186,4.349,0,3.5,623,247
간장게장,1마리,167,8.18,3.4,26.88,3.02,0.426,1.1206,0.51,125,1.9,1019,562
갈비구이,1인분(200g),480,1.78,0.55,53.11,27.35,10.29,2.304,12.564,154,0.2,515,736
갈비찜,1인분(200g),597,15.44,9.41,34.53,43.59,16.882,3.19,19.415,139,1.3,1140,538
갈비탕,1인분(400g),466,11.63,2.4,33.29,31.26,12.422,2.499,13.584,124,2.1,1365,807
갈치구이,1토막,102,0.11,0.03,13.72,4.84,1.132,1.19,1.808,42,0,252,251
갈치조림,1토막,134,4.92,2.77,15.52,5.28,1.224,1.362,1.902,45,0.7,422,335
감자전,1인분(150g),191,20.5,1.73,2.62,11.16,1.603,4.674,4.348,0,3.6,799,533
감자조림,1인분(35g),44,6.66,0.74,0.79,1.68,0.236,0.232,1.158,0,0.6,186,109
감자채볶음,1인분(90g),107,13.72,1.57,1.46,5.42,0.758,0.691,3.813,0,1.2,196,228
감자탕,1인분(200g),151,10.01,0.97,14.74,5.58,1.682,0.987,2.409,38,2,610,416
갓김치,1인분(120g),97,16.59,3.07,7.06,2.1,0.207,0.595,0.364,0,2.9,658,342
건새우볶음,1인분(50g),67,0.99,0.06,11.63,1.58,0.305,0.62,0.375,75,0,202,76
경단,1개,47,9.97,0.92,0.96,0.27,0.114,0.042,0.095,0,0.5,29,30
계란국,1인분(500g),272,13.22,5.61,21.62,14.75,4.581,2.099,5.618,620,2.3,1415,448
계란말이,1인분(250g),336,6.53,2.81,25.46,22.4,6.181,3.641,9.217,808,1.6,772,415
계란찜,1인분(150g),212,3.11,1.42,15.08,15.16,3.882,2.653,6.526,494,0.8,392,212
계란후라이,1개 ,89,0.43,0.38,6.24,6.76,1.88,1.214,2.754,210,0,238,67
고등어구이,1인분(200g),379,0.7,0.18,35.18,25.19,5.809,6.841,9.569,120,0,822,693
고등어조림,1인분(150g),214,6.19,1.95,19,12.55,2.93,3.218,4.715,64,1.8,577,478
고사리나물,1인분(80g),51,5.5,1.43,2.6,2.71,0.363,1.097,0.987,0,0.5,142,175
고추장진미채볶음,1인분(150g),418,33.79,9.57,18.35,26.42,4.582,10.423,9.437,211,7.5,846,726
고추튀김,1개,66,8.6,0.58,1.16,3.01,0.224,0.923,1.674,0,0.7,78,44
곰탕_설렁탕,1그릇,185,1.83,0.65,23.68,9,3.498,0.355,3.806,52,0.1,449,475
곱창구이,100g,140,0,0,9.12,11.4,2.164,1.042,7.44,92,0,73,51
곱창전골,1인분(200g),332,20.96,3.44,14.86,23.54,4.13,5.985,11.527,133,6.6,469,553
과메기,100g,177,0,0,20.25,9.95,2.246,2.351,4.108,67,0,794,371
김밥,1줄,545,91.76,11.95,15.82,11.46,6.988,0.531,3.25,34,1.8,457,227
김치볶음밥,1인분(300g),446,75.09,2.46,8.75,12.37,1.868,5.058,4.729,0,3.9,844,520
김치전,1인분(150g),176,19.87,4.85,7.29,7.74,1.624,2.393,2.907,130,1.8,569,311
김치찌개,1인분(200g),121,6.47,1.77,7.51,7.57,1.903,2.129,2.935,15,1.4,442,330
김치찜,1인분(200g),389,13.16,8.55,34.87,21.34,42.31,12.441,53.434,525,1.8,1346,2593
깍두기,1인분(50g),16,3.21,1.44,0.62,0.29,0.053,0.131,0.073,0,1,300,127
깻잎장아찌,1인분(33g),24,4.25,0.7,1.99,0.52,0.061,0.136,0.083,1,0.9,202,130
꼬막찜,100g,102,7.88,0.7,8.86,4.91,0.715,2.061,1.499,18,3.4,270,358
꽁치조림,1토막,196,6.22,2.44,14.34,12.68,2.944,3.089,5.092,56,1.5,496,395
꽈리고추무침,1인분(150g),114,25.16,9.18,4.36,1.51,0.256,0.737,0.211,0,3.7,544,792
꿀떡,1개,54,11.53,0.75,1.08,0.32,0.05,0.134,0.109,0,0.5,2,28
나박김치,100g,14,2.86,1.27,1.2,0.21,0.033,0.092,0.034,0,1.1,368,193
누룽지,100g,383,84.29,0,7.31,0.51,0.12,0.086,0.088,0,2.1,217,95
닭갈비,1인분(300g),585,32.18,3.01,40.2,26.98,7.26,6.108,10.994,164,3.4,492,612
닭계장,1인분(300g),286,7.33,0.83,31.38,14.54,3.749,3.54,5.599,98,1.1,886,637
닭볶음탕,1인분(150g),230,9.4,2.51,25.72,9.5,2.31,2.64,3.484,76,1.4,185,372
더덕구이,1인분(70g),58,10.61,0.6,2.29,1.86,0.307,0.815,0.502,0,4.2,197,335
도라지무침,1인분(93g),87,15.45,0.45,2.59,2.64,0.406,1.119,0.923,0,4.8,506,504
도토리묵,1인분(200g),90,17.57,1.99,1.32,1.64,0.224,0.614,0.688,0,0.9,67,117
동그랑땡,1개,30,0.93,0.14,1.72,2.11,0.651,0.267,0.917,14,0.1,39,33
동태찌개,1인분(500g),408,23.06,5.27,60.01,9.23,1.542,4.394,1.713,174,10.2,973,1783
된장찌개,1인분(200g),176,16.46,3.75,15.51,5.83,1.148,2.402,1.632,23,3.2,2452,559
두부김치,1인분(400g),301,24.47,4.11,26.19,13.87,2.023,7.707,3.023,0,3.4,1562,732
두부조림,1인분(150g),188,3.77,1.41,9.62,14.92,1.867,6.066,6.187,0,0.5,668,222
땅콩조림,1소접시,152,7.16,4.57,6.54,12.13,2,3.541,5.979,0,2.2,137,170
떡갈비,1인분(200g),416,4.05,1.16,32.98,29.19,11.852,1.849,12.687,109,1.1,579,648
떡국_만두국,1인분(300g),442,68.42,1.83,15,11.05,3.971,0.86,4.591,76,2.5,1324,271
떡꼬치,1개,140,23.65,3.68,2.3,3.99,0.438,1.329,2.302,0,1,183,77
떡볶이,1인분(200g),280,60.42,6.63,6.97,2.91,0.544,1.219,0.768,7,5.7,249,571
라면,1봉지,385,55.68,0.62,7.9,14.54,6.486,2.214,5.44,0,2,986,102
라볶이,1인분(300g),417,67.71,9.95,10.32,13.83,2.85,5.069,4.917,11,7.3,670,678
막국수,1인분(250g),452,89.63,2.77,17.04,6.45,0.95,3.411,1.619,0,1.8,1059,450
만두,1개,41,3.54,0.21,4.27,0.98,0.274,0.201,0.359,18,0.2,161,70
매운탕,1인분(300g),213,6.24,1.81,34.1,5.31,0.742,1.755,2.031,66,2.1,724,849
멍게,1인분(100g),78,3.57,0,9.34,2.66,0.588,0.592,1.092,57,0,194,131
메추리알장조림,1인분(60g),89,1.58,0.56,9.75,4.64,1.856,0.242,1.886,70,0.1,138,163
멸치볶음,1인분(40g),69,0.35,0.08,7.43,4.09,0.784,1.105,1.84,21,0.1,1022,147
무국,1대접,48,5.51,1.61,1.1,2.66,0.392,1.109,1.03,0,1.4,435,241
무생채,1인분(200g),80,14.34,8.06,2.3,2.28,0.364,1.007,0.745,0,4.5,1383,490
물냉면,1인분(400g),383,64.58,1.89,16.5,5.74,1.972,0.537,2.293,48,4.1,1760,244
물회,1대접,211,19.08,2.51,20.09,5.97,0.99,2.284,2.01,47,1.8,278,449
미역국,1컵,83,5.59,0.62,7.87,3.73,0.975,1.099,1.24,14,0.5,1134,223
미역줄기볶음,1인분(200g),82,13.32,5.19,1.89,3.07,0.435,1.323,1.163,0,1.2,235,235
배추김치,1인분(38g),8,1.58,0.7,0.66,0.12,0.018,0.056,0.017,0,0.5,245,98
백김치,1인분(100g),22,4.75,1.43,1.21,0.19,0.032,0.078,0.033,0,1.5,454,167
보쌈,1인분(200g),581,2.86,0.99,27.85,50.15,18.55,4.975,22.392,121,0.7,543,503
부추김치,1인분(38g),16,3.58,0.8,0.3,0.13,0.02,0.06,0.016,0,0.7,231,73
북엇국,1인분(250g),110,3.28,1.24,12.81,4.9,1.045,1.482,1.81,105,0.9,1317,366
불고기,1인분(300g),486,14.77,7.17,48.38,23.86,6.068,5.905,9.603,103,2.6,583,853
비빔냉면,1인분(210g),592,83,17,9.9,3.8,0.6,-,-,-,-,1524,-
비빔밥,1인분(400g),586,89.78,6.02,22.05,13.99,3.736,2.948,5.633,238,2.7,433,595
산낙지,1인분(100g),60,1.57,0,9.77,1.32,0.238,0.43,0.355,31,0.1,150,230
삼겹살,1인분(200g),661,1.18,0,34.47,56.43,19.342,6.258,25.512,121,0,1924,543
삼계탕,1인분(500g),454,20.41,0.45,55.5,15.89,3.212,4.994,5.198,240,0.8,2173,768
새우볶음밥,1인분(250g),410,76,0,9,8,2.1,0,-,15,-,740,-
새우튀김,1개,16,1.14,0.05,2,0.31,0.074,0.089,0.075,18,0,47,19
생선전,1인분(200g),300,19.14,0.77,28.25,11.48,1.914,5.795,2.527,217,1,870,480
소세지볶음,1인분(100g),125,2.64,0.74,6.48,9.84,2.912,1.725,4.196,25,0.9,405,154
송편,1개,46,9.81,0.64,0.91,0.3,0.046,0.123,0.101,0,0.4,2,23
수육,1인분(250g),449,3.98,2.46,52.28,22.8,8.416,1.7,9.842,144,0.5,808,1004
수정과,1잔,115,30.94,0.06,0.66,0.35,0.022,0.029,0.021,0,6.9,5,333
수제비,1인분(400g),371,61.49,2.96,15.46,6.73,1.443,1.977,2.425,99,4.2,2335,545
숙주나물,1인분(120g),25,3.1,1.65,1.73,1.06,0.157,0.431,0.394,0,1.1,496,53
순대,1인분(170g),269,27.51,0.13,18.97,8.52,2.969,1.431,2.586,364,0.6,1259,386
순두부찌개,1인분(300g),259,5.62,1.72,18.25,17.99,4.283,3.789,7.954,121,1.1,516,391
